solved,puzzle_date,day_of_week,time_taken,completed_at_et,constructor
True,2022-05-11,Wednesday,739,1652669240,Michael Paleos
True,2022-05-12,Thursday,1012,1652322943,Ross Trudeau
True,2022-06-06,Monday,476,1654487319,Michael Schlossberg
True,2022-06-08,Wednesday,1005,1654734236,Bruce Haight
True,2022-06-09,Thursday,1072,1654743666,Dan Ziring
True,2023-01-27,Friday,946,1695946590,Joe Deeney
True,2023-01-28,Saturday,851,1688398340,Kevin Christian
True,2023-02-03,Friday,1075,1687922580,Barbara Lin
True,2023-02-04,Saturday,1127,1687916567,Kate Hawkins
True,2023-02-10,Friday,1268,1687789901,Kavin Pawittranon and Nijah Morris
True,2023-02-11,Saturday,1097,1687456534,Sam Ezersky
True,2023-02-17,Friday,789,1687374964,Jem Burch
True,2023-02-18,Saturday,1735,1687281498,Kameron Austin Collins
True,2023-02-24,Friday,1160,1687207311,Margaret Seikel and Sophia Maymudes
True,2023-02-25,Saturday,2376,1687142558,Trent H. Evans
True,2023-03-02,Thursday,823,1737583005,Malaika Handa
True,2023-03-03,Friday,988,1686792951,Eric Warren
True,2023-03-04,Saturday,1543,1686789536,Ryan McCarty
True,2023-03-09,Thursday,1231,1735867816,Simeon Seigel
True,2023-03-10,Friday,723,1686704524,Claire Rimkus
True,2023-03-11,Saturday,3361,1686685446,Tom Pepper
True,2023-03-16,Thursday,571,1734385233,Rebecca Goldstein
True,2023-03-17,Friday,808,1734284200,Carter Cobb
True,2023-03-18,Saturday,784,1686601957,Ada Nicolle
True,2023-03-23,Thursday,1062,1734306952,David Kwong
True,2023-03-24,Friday,1014,1679869635,Blake Slonecker
True,2023-03-25,Saturday,944,1679876422,Robyn Weintraub
True,2023-03-30,Thursday,801,1734302816,Adam Wagner and Brooke Husic
True,2023-03-31,Friday,4289,1686539283,Rich Norris
True,2023-04-01,Saturday,1750,1686249176,Wyna Liu and Joel Fagliano
True,2023-04-07,Friday,1551,1686021716,Lindsey Hobbs
True,2023-04-08,Saturday,1729,1685918099,Sid Sivakumar
True,2023-04-14,Friday,951,1685906449,Billy Bratton and Clay Haddock
True,2023-04-15,Saturday,1918,1685853159,Kameron Austin Collins
True,2023-04-21,Friday,893,1685840978,Erica Hsiung Wojcik and Matthew Stock
True,2023-04-22,Saturday,1727,1685839984,Byron Walden
True,2023-04-28,Friday,1431,1684970606,Malaika Handa and Erik Agard
True,2023-04-29,Saturday,985,1684544502,David Steinberg
True,2023-05-04,Thursday,1567,1695222321,David J. Kahn
True,2023-05-05,Friday,1508,1686189044,Jacob McDermott
True,2023-05-06,Saturday,829,1686105278,Carter Cobb
True,2023-05-11,Thursday,823,1695245863,Sheldon Polonsky
True,2023-05-12,Friday,888,1683902088,Enrique Henestroza Anguiano
True,2023-05-13,Saturday,665,1683992623,Spencer Leach
True,2023-05-18,Thursday,1314,1689280927,Kiran Pandey
True,2023-05-19,Friday,819,1684466822,David Distenfeld
True,2023-05-20,Saturday,1023,1684799346,Erica Hsiung Wojcik
True,2023-05-26,Friday,1076,1685147129,Hemant Mehta
